DateTime,Entries,UniqueIPs
1539950882,606965,645334
1539951123,606971,645340
1539951724,606972,645343
1539952923,606983,645360
1539953523,606984,645361
1539954171,606989,645369
1539955323,606996,645378
1539955922,606997,645379
1539956162,607009,645391
1539956643,606959,645342
1539957123,606962,645345
1539957723,606973,645356
1539957766,606971,645354
1539958324,606974,645359
1539958923,606976,645360
1539960123,606978,645362
1539960482,607047,645431
1539961366,607055,645439
1539961923,607055,645440
1539962523,607057,645442
1539963843,607071,645456
1539964565,606988,645373
1539964969,606995,645381
1539966123,607010,645397
1539966724,607103,645490
1539967322,607107,645494
1539968642,607022,645410
1539969604,607112,645500
1539969724,607116,645505
1539970562,607153,645542
1539970923,607168,645559
1539972172,607173,645564
1539972723,607179,645571
1539973324,607181,645574
1539973923,607183,645576
1539974402,607246,645639
1539974523,607250,645644
1539975365,607124,645519
1539975768,607133,645528
1539976323,607326,645721
1539976923,607330,645726
1539977523,607342,645739
1539978243,607232,645629
1539979323,607234,645633
1539979428,607232,645631
1539980164,607142,645541
1539980523,607144,645547
1539981123,607147,645550
1539982082,607230,645635
1539982323,607239,645646
1539982969,607240,645647
1539983524,607241,645648
1539984008,607228,645635
1539984123,607234,645643
1539984723,607238,645647
1539985323,607250,645659
1539985923,607252,645663
1539986574,607256,645669
1539987123,607261,645674
1539987844,607172,645586
1539988923,607176,645590
1539989763,607245,645659
1539990167,607249,645663
1539991324,607251,645666
1539992523,607262,645677
1539993123,607267,645682
1539993614,607324,645739
1539993725,607328,645743
1539993834,607327,645742
1539994564,607154,645569
1539994924,607159,645582
1539995524,607224,645648
1539996122,607225,645652
1539996723,607228,645656
1539997369,607233,645662
1539997923,607239,645671
1539998524,607239,645673
1539999363,607292,645727
1539999723,607292,645728
1540000324,607208,645644
1540000924,607218,645656
1540002123,607226,645665
1540003203,607294,645733
1540003323,607298,645737
1540004164,607239,645682
1540004572,607244,645689
1540005123,607247,645692
1540005723,607252,645701
1540006324,607254,645703
1540007043,607322,645771
1540008123,607323,645773
1540008723,607328,645778
1540009205,607158,645608
1540009324,607172,645625
1540009924,607175,645628
1540010523,607177,645630
1540011123,607251,645705
1540011776,607251,645705
1540012923,607260,645714
1540013524,607264,645718
1540014123,607269,645723
1540014963,607347,645801
1540015374,607349,645804
1540015923,607352,645807
1540016523,607356,645813
1540017127,607278,645735
1540017724,607283,645740
1540018323,607292,645752
1540019043,607243,645703
1540019524,607244,645704
1540020123,607245,645705
1540020962,607310,645770
1540021323,607313,645773
1540021923,607316,645776
1540022523,607321,645783
1540022630,607320,645782
1540023124,607324,645787
1540023723,607331,645797
1540024324,607333,645799
1540024802,607414,645880
1540024924,607418,645885
1540025523,607422,645889
1540026171,607427,645894
1540026726,607350,645817
1540027323,607357,645827
1540027923,607365,645835
1540028643,607439,645909
1540029123,607442,645915
1540029767,607444,645917
1540030564,607378,645852
1540030923,607380,645855
1540032124,607382,645857
1540032482,607466,645941
1540032725,607467,645942
1540033433,607467,645942
1540034523,607471,645946
1540035124,607474,645950
1540035723,607479,645956
1540036325,607439,645916
1540036924,607438,645919
1540036972,607436,645917
1540038123,607439,645920
1540039324,607442,645923
1540040163,607520,646001
1540040571,607526,646008
1540041723,607530,646018
1540042323,607531,646019
1540042924,607536,646024
1540043523,607541,646031
1540044014,607605,646096
1540044170,607610,646101
1540044963,607561,646052
1540045323,607566,646057
1540045922,607622,646113
1540046523,607627,646118
1540046882,607571,646062
1540047123,607574,646065
1540047829,607574,646072
1540048324,607579,646077
1540048804,607505,646003
1540048923,607506,646005
1540049762,607589,646092
1540050125,607591,646094
1540050723,607592,646095
1540051430,607591,646098
1540051923,607592,646100
1540052643,607516,646023
1540053123,607519,646026
1540053602,607599,646106
1540053724,607602,646109
1540054323,607605,646112
1540054971,607606,646113
1540056124,607609,646116
1540056723,607610,646120
1540057444,607686,646196
1540058628,607686,646196
1540059364,607553,646063
1540059724,607554,646065
1540060323,607558,646069
1540060924,607561,646072
1540061283,607649,646160
1540061523,607651,646162
1540062167,607653,646165
1540063203,607709,646221
1540065723,607711,646223
1540067044,607594,646106
1540067524,607596,646108
1540068124,607598,646111
1540068964,607684,646197
1540069371,607689,646203
1540069925,607693,646207
1540070523,607695,646209
1540070883,607602,646116
1540071122,607604,646119
1540071723,607606,646121
1540072323,607608,646123
1540072816,607673,646188
1540073031,607680,646195
1540073524,607682,646197
1540074123,607687,646202
1540074723,607717,646232
1540075323,607720,646235
1540075923,607723,646239
1540076643,607770,646288
1540077604,607643,646161
1540077723,607648,646167
1540078324,607651,646170
1540078923,607654,646173
1540080125,607658,646178
1540080723,607661,646181
1540081323,607661,646182
1540081923,607662,646183
1540082403,607685,646206
1540082523,607686,646207
1540083123,607688,646210
1540083363,607521,646042
1540083772,607523,646044
1540084924,607540,646061
1540085523,607546,646067
1540086242,607615,646137
1540086722,607616,646138
1540087370,607619,646141
1540087923,607620,646142
1540088523,607624,646148
1540089123,607625,646149
1540089724,607629,646155
1540090083,607625,646151
1540090323,607628,646154
1540090971,607631,646157
1540091523,607635,646161
1540092124,607636,646162
1540092723,607637,646163
1540093924,607569,646096
1540094523,607574,646101
1540094572,607570,646097
1540095123,607573,646101
1540095724,607574,646102
1540096323,607579,646107
1540096922,607583,646112
1540097523,607587,646116
1540097763,607668,646197
1540098235,607668,646197
1540098724,607670,646199
1540099925,607680,646211
1540100523,607685,646216
1540101612,607750,646281
1540101832,607751,646282
1540102563,607689,646220
1540102924,607692,646223
1540103523,607742,646273
1540104123,607743,646274
1540104723,607745,646277
1540105372,607747,646279
1540106404,607645,646176
1540106524,607651,646182
1540107124,607653,646184
1540107843,607719,646250
1540108324,607720,646253
1540108971,607720,646255
1540109524,607726,646262
1540110123,607729,646265
1540110723,607734,646270
1540111323,607734,646271
1540111682,607797,646334
1540111923,607803,646340
1540112576,607806,646343
1540113124,607807,646344
1540113724,607809,646346
1540114323,607723,646260
1540114923,607725,646262
1540115764,607814,646351
1540116229,607812,646349
1540117322,607819,646359
1540117922,607822,646363
1540118524,607825,646367
1540119612,607884,646426
1540120084,607795,646338
1540120324,607800,646343
1540120923,607802,646345
1540121523,607886,646429
1540122123,607897,646440
1540123374,607898,646441
1540124524,607899,646442
1540125362,607952,646495
1540125843,607921,646465
1540127764,607853,646397
1540128723,607856,646400
1540129323,607861,646405
1540129682,607950,646494
1540129923,607951,646497
1540130633,607952,646498
1540131124,607954,646500
1540131723,607958,646504
1540132923,607962,646508
1540133524,607896,646442
1540134124,607898,646444
1540134723,607900,646446
1540135443,607978,646524
1540135923,607982,646528
1540136523,607983,646531
1540137363,608000,646548
1540137828,608002,646550
1540138324,608003,646553
1540138924,608005,646555
1540139763,608068,646618
1540140123,608069,646619
1540141923,608071,646621
1540142523,608075,646627
1540143608,608054,646606
1540143723,608055,646607
1540144323,608060,646613
1540144971,608068,646621
1540145523,608069,646622
1540146124,608071,646624
1540146723,608074,646628
1540147445,608100,646654
1540148572,608099,646653
1540149363,608014,646567
1540149723,608019,646573
1540150323,608021,646576
1540150923,608023,646578
1540151282,608114,646669
1540151526,608120,646678
1540152172,608125,646685
1540153324,608128,646688
1540154523,608132,646693
1540155125,608139,646701
1540155771,608140,646702
1540156324,608142,646705
1540156923,608144,646708
1540157523,608145,646709
1540158124,608145,646709
1540158964,607993,646557
1540159374,607997,646561
1540160524,607998,646562
1540161723,608003,646567
1540162810,608076,646640
1540162970,608082,646646
1540163524,608083,646648
1540165323,608089,646655
1540165923,608091,646658
1540166642,608143,646710
1540167608,607925,646492
1540167724,607926,646493
1540168562,607986,646554
1540170724,607986,646554
1540171324,607988,646556
1540172403,608037,646605
1540172524,608040,646609
1540173365,607910,646479
1540173772,607912,646481
1540174923,607913,646482
1540175523,607915,646484
1540176242,607995,646564
1540176723,607998,646567
1540177430,607995,646564
1540177923,608013,646584
1540178523,608016,646587
1540179725,608022,646593
1540180082,608092,646663
1540180323,608094,646665
1540180974,608098,646669
1540182007,608024,646594
1540182123,608027,646598
1540182724,608031,646604
1540183923,608103,646676
1540184574,608103,646676
1540185124,608109,646683
1540185723,608123,646698
1540186323,608131,646706
1540186802,607972,646546
1540186924,607975,646549
1540187763,608058,646634
1540188172,608065,646641
1540188724,608146,646722
1540189323,608150,646727
1540189682,608087,646663
1540189923,608091,646667
1540190523,608094,646670
1540191123,608095,646671
1540191606,608088,646664
1540191770,608091,646667
1540192325,608097,646673
1540192923,608100,646679
1540193523,608144,646723
1540194125,608145,646724
1540194723,608148,646727
1540195431,608149,646729
1540195923,608151,646731
1540196523,608156,646736
1540197124,608157,646737
1540197363,608125,646706
1540197723,608129,646710
1540199524,608130,646711
1540200124,608133,646715
1540200723,608143,646727
1540201323,608150,646736
1540201682,608178,646764
1540201924,608180,646767
1540202574,608184,646772
1540203607,608085,646673
