DateTime,Entries,UniqueIPs
1540017628,8277,8277
1540018349,8230,8230
1540019072,8276,8276
1540019784,8224,8224
1540020502,8279,8279
1540021470,8282,8282
1540022433,8269,8269
1540023403,8238,8238
1540024363,8294,8294
1540025299,8287,8287
1540026265,8271,8271
1540027214,8283,8283
1540028318,8291,8291
1540029148,8292,8292
1540030119,8308,8308
1540031065,8299,8299
1540032027,8305,8305
1540032995,8303,8303
1540033951,8266,8266
1540034664,8310,8310
1540035381,8239,8239
1540036102,8243,8243
1540036869,8275,8275
1540037798,8268,8268
1540038749,8314,8314
1540039931,8321,8321
1540040661,8340,8340
1540041617,8339,8339
1540042592,8342,8342
1540043554,8305,8305
1540044514,8331,8331
1540045485,8303,8303
1540046431,8365,8365
1540047391,8353,8353
1540048354,8338,8338
1540049306,8341,8341
1540050268,8297,8297
1540051235,8345,8345
1540052197,8359,8359
1540053152,8364,8364
1540054109,8373,8373
1540055072,8311,8311
1540056030,8377,8377
1540056995,8383,8383
1540057951,8334,8334
1540058915,8374,8374
1540059866,8352,8352
1540060830,8340,8340
1540061789,8359,8359
1540062760,8326,8326
1540063706,8350,8350
1540064421,8333,8333
1540065157,8333,8333
1540065866,8304,8304
1540066585,8347,8347
1540067561,8329,8329
1540068510,8340,8340
1540069478,8319,8319
1540070428,8300,8300
1540071395,8325,8325
1540072350,8338,8338
1540073315,8328,8328
1540074267,8311,8311
1540075228,8322,8322
1540076189,8320,8320
1540077154,8313,8313
1540078106,8314,8314
1540079067,8312,8312
1540080041,8313,8313
1540080983,8303,8303
1540081941,8311,8311
1540082896,8312,8312
1540083874,8307,8307
1540084839,8264,8264
1540085793,8283,8283
1540086773,8260,8260
1540087715,8290,8290
1540088670,8288,8288
1540089629,8268,8268
1540090590,8286,8286
1540091556,8247,8247
1540092506,8284,8284
1540093468,8259,8259
1540094433,8289,8289
1540095398,8272,8272
1540096353,8284,8284
1540097063,8271,8271
1540097787,8287,8287
1540098755,8264,8264
1540099463,8272,8272
1540100197,8272,8272
1540101150,8267,8267
1540102114,8259,8259
1540103065,8273,8273
1540104027,8271,8271
1540104744,8287,8287
1540105718,8285,8285
1540106444,8290,8290
1540107396,8301,8301
1540108376,8297,8297
1540109317,8268,8268
1540110267,8294,8294
1540111229,8291,8291
1540112191,8291,8291
1540113399,8216,8216
1540114353,8213,8213
1540115076,8308,8308
1540115787,8301,8301
1540116503,8323,8323
1540117226,8329,8329
1540118198,8301,8301
1540119157,8315,8315
1540120118,8305,8305
1540121070,8305,8305
1540122028,8305,8305
1540122742,8318,8318
1540123474,8319,8319
1540124184,8302,8302
1540124914,8331,8331
1540125868,8309,8309
1540126840,8302,8302
1540127813,8334,8334
1540128509,8319,8319
1540129227,8322,8322
1540130206,8271,8271
1540131156,8298,8298
1540131863,8306,8306
1540132584,8301,8301
1540133306,8316,8316
1540134033,8307,8307
1540134851,8322,8322
1540135476,8308,8308
1540136186,8323,8323
1540136906,8340,8340
1540137875,8324,8324
1540139093,8293,8293
1540139797,8340,8340
1540140502,8310,8310
1540141240,8332,8332
1540142272,8317,8317
1540143140,8342,8342
1540144110,8342,8342
1540145076,8331,8331
1540146031,8317,8317
1540146998,8341,8341
1540147951,8363,8363
1540148915,8359,8359
1540149873,8364,8364
1540150829,8341,8341
1540151806,8346,8346
1540152752,8372,8372
1540153462,8343,8343
1540154184,8362,8362
1540154902,8363,8363
1540155638,8359,8359
1540156595,8343,8343
1540157559,8347,8347
1540158262,8331,8331
1540158988,8344,8344
1540159702,8351,8351
1540160426,8337,8337
1540161396,8325,8325
1540162352,8330,8330
1540163318,8344,8344
1540164265,8332,8332
1540164982,8326,8326
1540165706,8335,8335
1540166435,8322,8322
1540167152,8291,8291
1540168108,8330,8330
1540169072,8297,8297
1540169780,8312,8312
1540170514,8346,8346
1540171222,8277,8277
1540171950,8322,8322
1540172914,8325,8325
1540173873,8274,8274
1540174583,8337,8337
1540175306,8298,8298
1540176024,8325,8325
1540176754,8297,8297
1540177718,8333,8333
1540178417,8323,8323
1540179140,8293,8293
1540179855,8306,8306
1540180591,8304,8304
1540181553,8310,8310
1540182511,8282,8282
1540183466,8286,8286
1540184444,8284,8284
1540185395,8282,8282
1540186355,8263,8263
1540187311,8277,8277
1540188276,8284,8284
1540189231,8256,8256
1540190202,8294,8294
1540191152,8252,8252
1540192121,8195,8195
1540193068,8267,8267
1540194128,8182,8182
1540194747,8271,8271
1540195473,8182,8182
1540196186,8276,8276
1540196905,8285,8285
1540197868,8278,8278
1540198854,8311,8311
1540199814,8301,8301
1540200499,8314,8314
1540201228,8293,8293
1540202189,8321,8321
1540203151,8303,8303
